Year,Week,From,To,AandB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,22,24/05/2020,30/05/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,23,31/05/2020,06/06/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A and B standard deviation
2020,24,07/06/2020,13/06/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.6576141
2020,25,14/06/2020,20/06/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,26,21/06/2020,27/06/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90% percentile
2020,27,28/06/2020,04/07/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.1
2020,28,05/07/2020,11/07/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,29,12/07/2020,18/07/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mean
2020,30,19/07/2020,25/07/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.1653846
2020,31,26/07/2020,01/08/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,32,02/08/2020,08/08/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,33,09/08/2020,15/08/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,34,16/08/2020,22/08/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,35,23/08/2020,29/08/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,36,30/08/2020,05/09/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,37,06/09/2020,12/09/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,38,13/09/2020,19/09/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,39,20/09/2020,26/09/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,40,27/09/2020,03/10/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,41,04/10/2020,10/10/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,42,11/10/2020,17/10/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,43,18/10/2020,24/10/2020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,44,25/10/2020,31/10/2020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,45,01/11/2020,07/11/2020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,08/11/2020,14/11/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,15/11/2020,21/11/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,48,22/11/2020,28/11/2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,49,29/11/2020,05/12/2020,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,50,06/12/2020,12/12/2020,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,51,13/12/2020,19/12/2020,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,52,20/12/2020,26/12/2020,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,27/12/2020,02/01/2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
