Date,Fever,Cough,Sore Throat,Stuffy Nose,Muscle Pain,Body Pain,Headaches,Fatigue,Cold,Respiratory syncytial virus infection,Human metapneumovirus infection,COVID-19,Influenza,Runny nose,Chills,Diarrhea,Vomiting,Tamiflu,Oseltamivir,Flu vaccine,Flu shot,Antiviral,Fever medicine,Cough syrup,Wash hands,Hand sanitizer,Influenza(Ch),Cold(Ch),Fever(Ch),Cough(Ch),Sore Throat(Ch),Runny nose(Ch),Headaches(Ch),Chilling(Ch),Fatigue(Ch),Vomiting(Ch),Stomachache(Ch),Myalgia (Ch),Sneeze(Ch),Flu vaccine(Ch),Antipyretics(Ch),Cough Medicine(Ch),Tamifu(Ch),Wash hand(Ch),Disinfect(Ch),Wear mask(Ch)
5/24/2020,56,13,7,0,61,0,0,79,52,0,0,27,12,0,0,40,31,0,0,0,0,0,0,0,0,85,1,8,12,10,5,0,63,11,47,22,42,42,26,0,0,0,0,64,14,25
5/31/2020,48,14,12,72,57,0,41,71,49,0,0,25,9,0,0,51,0,0,0,0,0,0,0,0,0,57,1,7,14,11,5,0,67,12,68,35,37,71,25,0,0,0,0,65,15,19
06/07/2020,52,17,9,0,70,50,0,49,46,0,0,25,17,0,0,47,46,0,0,0,0,0,0,0,0,49,1,9,16,7,6,21,61,10,64,33,57,47,19,21,0,0,0,58,13,20
6/14/2020,44,10,0,0,55,0,0,41,46,0,0,24,11,0,0,58,0,0,0,0,0,0,0,0,0,52,1,8,16,10,6,15,56,12,73,32,46,46,20,15,0,0,0,59,15,22
6/21/2020,51,11,9,0,49,0,0,59,48,0,0,22,0,0,0,72,31,0,0,0,0,0,0,0,0,59,1,9,15,8,6,26,69,10,53,32,69,60,24,26,0,0,0,60,11,18
6/28/2020,51,14,10,0,0,0,0,36,48,0,0,19,19,0,0,62,44,0,0,0,0,0,0,0,0,39,3,7,14,8,4,21,64,10,48,32,42,50,24,21,0,0,0,52,11,17
07/05/2020,51,11,16,0,54,0,0,46,44,0,0,37,11,0,0,73,37,0,0,0,0,0,0,0,0,80,2,9,19,15,9,29,65,11,83,37,77,68,100,29,0,0,0,59,20,31
07/12/2020,59,16,19,0,82,0,0,55,44,0,0,69,15,0,0,59,30,0,0,0,0,89,0,0,0,100,3,14,29,22,18,44,67,10,81,34,90,64,93,44,0,0,0,86,33,76
7/19/2020,54,25,26,0,42,0,0,53,50,0,0,69,17,0,0,59,33,0,0,0,0,78,0,0,0,97,3,15,29,17,15,38,92,13,28,38,90,63,55,38,0,0,0,81,43,87
7/26/2020,58,18,12,0,0,0,0,81,46,0,0,67,14,0,0,48,29,0,0,0,0,0,0,0,0,80,3,14,25,20,15,44,85,13,50,31,73,81,43,44,0,0,0,75,39,100
