Period,Model,R2_Mean,R2_Std,MSE_Mean,MSE_Std,MAE_Mean,MAE_Std,AdjR2_Mean,AdjR2_Std
pre,svm,-0.06890353809927463,0.03910710124429545,70123.75689811801,69105.99268436673,64.69171622977646,42.402933872292074,-0.6389854250855544,0.059964221907919696
pre,xgboost,0.17296448945999146,0.7645164282909703,23627.439501953126,23167.688030496476,51.332427978515625,26.12540151992026,-0.2681211161613465,1.1722585233794878
pre,gradient_boosting,0.5410906393187822,0.2902959025254781,23787.3436718419,19666.863107361027,40.81392882471969,25.19546342756416,0.2963389802887994,0.44512038387239977
pre,random_forest,0.7293224437579683,0.11990902787872534,17969.995326356147,19021.289509219772,34.46972685417218,21.604510785762336,0.5849610804288846,0.18386050941404547
pre,lightgbm,0.5062471540806815,0.2961134929658643,35673.59369414261,42766.03505597367,53.548665822968225,34.44234070243238,0.2429123029237119,0.4540406892143253
post,svm,-0.010721558902385974,0.05902662114180573,141214.75730924038,38487.5673628409,298.2869203058309,32.48989051972831,-1.1658319119336844,0.12648561673244085
post,xgboost,0.8244658946990967,0.07069775475446763,23903.505029296874,9188.982313234375,106.82394599914551,24.753853427716006,0.6238554886409216,0.1514951887595735
post,gradient_boosting,0.7518494453336235,0.1523017650098646,33507.94042721423,19031.591919401784,123.14777026488545,36.04738927874079,0.46824881142919345,0.3263609250211384
post,random_forest,0.7817068778459109,0.11652155898412005,29742.503270064062,13746.987578514241,118.29398400297619,32.980249299520636,0.5322290239555232,0.24968905496597152
post,lightgbm,0.8109467220099754,0.08765652955048388,25327.022422726433,9699.917795385532,114.0138316511769,21.13870231392496,0.5948858328785186,0.18783542046532264
