feature,importance,rank
Tamiflu,12428569.252426147,18
Tamifu(Ch),10693734.920928955,43
COVID-19,816172.9791866178,12
Cough,454793.8317604179,2
Cough(Ch),301939.55940257944,30
RSP,279733.28879739204,50
Cough syrup,208031.60099315643,24
Disinfect(Ch),202691.9647367932,45
Vomiting(Ch),178569.74193860777,36
NOX,161074.8395287115,49
Sore Throat(Ch),144405.22905255435,31
Fever,135984.93915435264,1
Cold(Ch),120024.59490713291,28
Antipyretics(Ch),101820.020157516,41
Runny nose,98483.31747424603,14
FSP,95128.6987691652,47
Hand sanitizer,90328.52480480244,26
Myalgia (Ch),86692.9012500681,38
Sore Throat,76890.1768511869,3
Sneeze(Ch),73865.69213113794,39
Influenza,72657.52077178366,13
Fatigue,44374.515405290294,8
Influenza(Ch),42719.72171163652,27
Wear mask(Ch),41534.33174628019,46
Vomiting,38653.115659663454,17
Headaches(Ch),24844.219500569627,33
Muscle Pain,13634.713246242725,5
Diarrhea,11482.090887503698,16
Wash hand(Ch),9249.176044809632,44
SO2,8194.685533090029,51
Fever(Ch),6542.684811175801,29
Fatigue(Ch),6412.211350825615,35
Chilling(Ch),5998.269440618693,34
Runny nose(Ch),5814.860892845318,32
Cold,4483.007625426631,9
Cough Medicine(Ch),2793.0315170288086,42
Antiviral,2767.49698638916,22
Flu vaccine,2488.595906943083,20
Stomachache(Ch),1947.153626859188,37
NO2,726.8521173316985,48
Headaches,306.476772679016,7
Flu shot,81.00453817844391,21
Flu vaccine(Ch),8.317852538079023,40
Body Pain,1.757135033607483,6
Oseltamivir,0.0,19
Respiratory syncytial virus infection,0.0,10
Human metapneumovirus infection,0.0,11
Stuffy Nose,0.0,4
Chills,0.0,15
Fever medicine,0.0,23
Wash hands,0.0,25
